game,res,ncnt,remcnt,donecnt
847,1,7644,0,52
848,1,4774,0,52
849,0,1634,19,19
850,0,1047,26,6
851,0,919,21,5
852,1,26056,0,52
853,1,39204,0,52
854,1,11062,0,52
855,0,861,13,9
856,0,1061,20,7
857,0,1093,17,15
858,1,43461,0,52
859,0,7359,8,11
860,0,1542,20,9
861,0,17146,7,14
862,0,3693,7,11
863,1,6907,0,52
864,0,8937,8,16
865,1,8068,0,52
866,0,396,23,10
867,1,13518,0,52
868,1,11974,0,52
869,0,421,27,10
870,0,539,19,12
871,0,2470,17,11
872,0,8498,5,32
873,1,43886,0,52
874,1,17803,0,52
875,1,21429,0,52
876,0,2300,8,16
877,1,18847,0,52
878,1,11317,0,52
879,0,1477,6,21
880,0,12036,4,14
881,1,18914,0,52
882,1,6970,0,52
883,1,4692,0,52
884,1,26284,0,52
885,0,28376,9,6
886,1,4119,0,52
887,1,8560,0,52
888,0,3225,17,14
889,0,28620,3,14
890,0,1728,9,21
891,1,16941,0,52
892,0,4162,11,8
893,1,8137,0,52
894,1,4765,0,52
895,0,14084,12,5
896,1,10938,0,52
897,0,13178,6,27
898,0,7390,7,23
899,1,13795,0,52
900,0,371,27,9
901,0,1692,14,8
902,0,13597,4,23
903,1,29937,0,52
904,0,1694,15,10
905,0,6073,9,14
906,1,10104,0,52
907,0,12597,5,31
908,0,123,30,8
909,0,2510,16,7
910,1,61119,0,52
911,0,8896,7,16
912,1,13388,0,52
913,1,22580,0,52
914,1,7150,0,52
915,1,4504,0,52
916,1,21244,0,52
917,0,1405,19,6
918,0,9818,12,12
919,0,3623,16,3
920,1,18046,0,52
921,1,63697,0,52
922,0,9632,5,24
923,1,28675,0,52
924,0,1705,22,12
925,1,18484,0,52
926,1,22403,0,52
927,1,29173,0,52
928,0,2416,19,4
929,0,15189,8,17
930,0,1140,14,10
931,0,4459,12,7
932,1,26824,0,52
933,1,11989,0,52
934,0,441,30,6
935,1,15798,0,52
936,0,7593,9,13
937,0,2311,10,21
938,1,82274,0,52
939,0,2672,14,10
940,0,12962,3,21
941,0,9056,10,12
942,1,13922,0,52
943,0,7066,5,26
944,1,14869,0,52
945,0,2551,13,7
946,0,335,27,4
947,0,970,20,6
948,0,8919,10,11
949,1,16177,0,52
950,0,565,26,8
951,1,16407,0,52
952,0,2247,14,7
953,0,5556,10,21
954,1,17959,0,52
955,0,725,18,16
956,0,19456,12,12
957,0,808,19,11
958,1,16605,0,52
959,0,1873,17,10
960,1,19805,0,52
961,1,20926,0,52
962,0,800,19,9
963,0,6608,2,39
964,0,3590,15,10
965,0,2206,20,3
966,1,6687,0,52
967,0,1520,9,17
968,1,5199,0,52
969,0,9311,6,17
970,1,19239,0,52
971,0,779,20,13
972,1,44712,0,52
973,0,4054,18,13
974,1,25442,0,52
975,0,6154,18,5
976,1,10264,0,52
977,0,14533,11,17
978,1,53653,0,52
979,0,3923,6,15
980,0,349,27,7
981,1,15193,0,52
982,1,7033,0,52
983,0,1138,24,6
984,0,15344,10,11
985,0,2992,10,11
986,0,40845,2,38
987,1,3555,0,52
988,1,41180,0,52
989,1,4901,0,52
990,1,2247,0,52
991,1,17617,0,52
992,1,4898,0,52
993,1,17809,0,52
994,0,1422,22,8
995,1,19203,0,52
996,0,3679,8,18
997,1,38627,0,52
998,1,2743,0,52
999,0,1937,14,9
